id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
10102,Digby Extreme,16-10-2017,3 Sprockets,3 Sprockets,Action;Casual;Indie,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,199,76%,1,1,1
10103,Cute Things Dying Violently,02-09-2015,"ApathyWorks, LLC","ApathyWorks, LLC",Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor,169,71%,1,1,1
10104,All You Can Feed: Sushi Bar,20-04-2018,DACS Laboratories,DACS Laboratories,Casual;Simulation,Single-player,85,83%,1,0,0
10105,Moorhuhn / Crazy Chicken Tales,30-09-2014,Coreplay,Libredia,Casual,Single-player,85,83%,1,0,0
10106,Alchemia,28-09-2018,Matthew Brown,Matthew Brown,Indie,Single-player;Steam Achievements,85,90%,1,0,0
10107,stepbystep,22-11-2018,Evgeny Petrov,Not a Prototype games,Indie;Strategy,Single-player;Steam Achievements;Full controller support,125,73%,1,0,1
10108,Duke of Defense,04-04-2019,Christopher Anselmo;Sebastian Nigro,Hitcents,Casual;Strategy,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats,42,75%,1,0,0
10109,Dinosaurs Prehistoric Survivors,18-05-2018,Arcupion Art,Arcupion Art,Action;Adventure;Indie;RPG;Simulation;Early Access,Single-player,419,80%,1,0,0
10110,Lems,21-06-2018,Universe Worth Experiencing,Universe Worth Experiencing,Indie;Early Access,Single-player,610,79%,1,0,0
10111,Crayon Chronicles,02-03-2015,Outer Grid Games LLC,Outer Grid Games LLC,Casual;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,165,93%,1,0,0
10112,Veil of Crows,18-10-2018,Kerry Fawdray,Humble Sage Games;Arrow Face Games,RPG;Strategy,Single-player,479,81%,1,0,0
10113,Captain MaCaw,17-01-2019,Auld Games,Auld Games,Adventure;Indie,Single-player;Steam Achievements;Partial Controller Support,125,100%,1,0,0
10114,War on Folvos,08-08-2014,Lonely Troops,Lonely Troops,Indie;Strategy,Single-player;Steam Cloud,165,90%,1,0,0
10115,Tennis Arcade VR,20-07-2018,ITC Studio;Software Wolf,Software Wolf;ITC Studio,Indie;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,349,94%,1,0,0
10116,Santa's Workshop,22-10-2017,Rocket Monster Games,Rocket Monster Games,Casual;Indie;Strategy,Single-player;Steam Achievements;Stats,42,90%,1,1,0
10117,Flotilla 2,17-08-2018,Blendo Games,Blendo Games,Indie;Strategy,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor,349,92%,1,0,0
10118,Don Bradman Cricket 17,16-01-2017,Big Ant Studios,Big Ant Studios,Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,"2,999",78%,1,0,0
